Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.435579038
75% Corpus,2,0.01,0.31,0.435579038
75% Corpus,2,0.01,0.61,0.435579038
75% Corpus,2,0.01,0.91,0.419727974
75% Corpus,2,0.01,symmetric,0.435579038
75% Corpus,2,0.31,0.01,0.441130722
75% Corpus,2,0.31,0.31,0.427696906
75% Corpus,2,0.31,0.61,0.422809099
75% Corpus,2,0.31,0.91,0.43771401
75% Corpus,2,0.31,symmetric,0.427696906
75% Corpus,2,0.61,0.01,0.45028507
75% Corpus,2,0.61,0.31,0.43771401
75% Corpus,2,0.61,0.61,0.43771401
75% Corpus,2,0.61,0.91,0.43771401
75% Corpus,2,0.61,symmetric,0.43771401
75% Corpus,2,0.91,0.01,0.45405072
75% Corpus,2,0.91,0.31,0.43771401
75% Corpus,2,0.91,0.61,0.437442445
75% Corpus,2,0.91,0.91,0.43771401
75% Corpus,2,0.91,symmetric,0.43771401
75% Corpus,2,symmetric,0.01,0.437442445
75% Corpus,2,symmetric,0.31,0.43771401
75% Corpus,2,symmetric,0.61,0.43771401
75% Corpus,2,symmetric,0.91,0.43771401
75% Corpus,2,symmetric,symmetric,0.43771401
75% Corpus,2,asymmetric,0.01,0.436759774
75% Corpus,2,asymmetric,0.31,0.434107966
75% Corpus,2,asymmetric,0.61,0.434107966
75% Corpus,2,asymmetric,0.91,0.434107966
75% Corpus,2,asymmetric,symmetric,0.434107966
75% Corpus,3,0.01,0.01,0.397410428
75% Corpus,3,0.01,0.31,0.395129929
75% Corpus,3,0.01,0.61,0.402105806
75% Corpus,3,0.01,0.91,0.413263931
75% Corpus,3,0.01,symmetric,0.389907955
75% Corpus,3,0.31,0.01,0.402946915
75% Corpus,3,0.31,0.31,0.401125091
75% Corpus,3,0.31,0.61,0.419675439
75% Corpus,3,0.31,0.91,0.418363618
75% Corpus,3,0.31,symmetric,0.419675439
75% Corpus,3,0.61,0.01,0.420270667
75% Corpus,3,0.61,0.31,0.409149931
75% Corpus,3,0.61,0.61,0.404868685
75% Corpus,3,0.61,0.91,0.425551184
75% Corpus,3,0.61,symmetric,0.403552406
75% Corpus,3,0.91,0.01,0.45453225
75% Corpus,3,0.91,0.31,0.441501251
75% Corpus,3,0.91,0.61,0.433347469
75% Corpus,3,0.91,0.91,0.421671276
75% Corpus,3,0.91,symmetric,0.433347469
75% Corpus,3,symmetric,0.01,0.402946915
75% Corpus,3,symmetric,0.31,0.400749022
75% Corpus,3,symmetric,0.61,0.42458319
75% Corpus,3,symmetric,0.91,0.42346152
75% Corpus,3,symmetric,symmetric,0.4151223
75% Corpus,3,asymmetric,0.01,0.438944174
75% Corpus,3,asymmetric,0.31,0.443975218
75% Corpus,3,asymmetric,0.61,0.472606703
75% Corpus,3,asymmetric,0.91,0.479643933
75% Corpus,3,asymmetric,symmetric,0.450064002
75% Corpus,4,0.01,0.01,0.45895154
75% Corpus,4,0.01,0.31,0.44372982
75% Corpus,4,0.01,0.61,0.442873887
75% Corpus,4,0.01,0.91,0.448414056
75% Corpus,4,0.01,symmetric,0.440335987
75% Corpus,4,0.31,0.01,0.470334911
75% Corpus,4,0.31,0.31,0.456594289
75% Corpus,4,0.31,0.61,0.453442771
75% Corpus,4,0.31,0.91,0.421924665
75% Corpus,4,0.31,symmetric,0.452533194
75% Corpus,4,0.61,0.01,0.494683346
75% Corpus,4,0.61,0.31,0.477836054
75% Corpus,4,0.61,0.61,0.465534034
75% Corpus,4,0.61,0.91,0.467730437
75% Corpus,4,0.61,symmetric,0.47486885
75% Corpus,4,0.91,0.01,0.507609546
75% Corpus,4,0.91,0.31,0.497516421
75% Corpus,4,0.91,0.61,0.488259811
75% Corpus,4,0.91,0.91,0.488259811
75% Corpus,4,0.91,symmetric,0.497500506
75% Corpus,4,symmetric,0.01,0.458215262
75% Corpus,4,symmetric,0.31,0.451656888
75% Corpus,4,symmetric,0.61,0.422546295
75% Corpus,4,symmetric,0.91,0.43413608
75% Corpus,4,symmetric,symmetric,0.455102681
75% Corpus,4,asymmetric,0.01,0.456521935
